City,State,population,Lon,Lat
Henderson,Nevada,260068,-115.0375,36.0122
Manchester,New Hampshire,109830,-71.4439,42.9847
Elizabeth,New Jersey,125660,-74.1935,40.6663
Newark,New Jersey,277540,-74.1726,40.7242
Paterson,New Jersey,146427,-74.1628,40.9147
Jersey City,New Jersey,250323,-74.0648,40.7114
Albuquerque,New Mexico,552804,-106.6474,35.1056
Buffalo,New York,261025,-78.8597,42.8925
Rochester,New York,210855,-77.6169,43.1699
Syracuse,New York,145151,-76.1436,43.041
New York,New York,8244910,-73.9385,40.6643
Yonkers,New York,197399,-73.8674,40.9459
Charlotte,North Carolina,751087,-80.8307,35.2087
Winston–Salem,North Carolina,232385,-80.2606,36.1033
High Point,North Carolina,105753,-79.9902,35.9855
Greensboro,North Carolina,273425,-79.8271,36.0965
Fayetteville,North Carolina,203945,-78.9803,35.0851
Durham,North Carolina,233252,-78.9056,35.981
Cary,North Carolina,139633,-78.8141,35.7821
Raleigh,North Carolina,416468,-78.6414,35.8302
Wilmington,North Carolina,108297,-77.8858,34.2092
Fargo,North Dakota,107349,-96.829,46.8652
Cincinnati,Ohio,296223,-84.5064,39.1399
Dayton,Ohio,142148,-84.1996,39.7774
Toledo,Ohio,286038,-83.5819,41.6641
Columbus,Ohio,797434,-82.985,39.9848
Cleveland,Ohio,393806,-81.6795,41.4781
Akron,Ohio,198402,-81.5214,41.0805
Oklahoma City,Oklahoma,591967,-97.5137,35.4671
Norman,Oklahoma,113273,-97.3453,35.2406
Tulsa,Oklahoma,396466,-95.9023,36.1279
Broken Arrow,Oklahoma,100073,-95.781,36.0365
Eugene,Oregon,156929,-123.1162,44.0567
Salem,Oregon,156244,-123.0231,44.9237
Portland,Oregon,593820,-122.65,45.537
Gresham,Oregon,107439,-122.4416,45.5023
Erie,Pennsylvania,101807,-80.0735,42.1166
Pittsburgh,Pennsylvania,307484,-79.9766,40.4398
Allentown,Pennsylvania,119141,-75.4782,40.594
Philadelphia,Pennsylvania,1536471,-75.1333,40.0094
Providence,Rhode Island,178053,-71.4188,41.8231
Columbia,South Carolina,130591,-80.8966,34.0298
Charleston,South Carolina,122689,-79.9589,32.8179
Sioux Falls,South Dakota,156592,-96.732,43.5383
Memphis,Tennessee,652050,-89.9785,35.1035
Clarksville,Tennessee,136231,-87.3452,36.5664
Nashville,Tennessee,609644,-86.785,36.1718
Murfreesboro,Tennessee,111327,-86.4161,35.8522
Chattanooga,Tennessee,170136,-85.2471,35.0665
Knoxville,Tennessee,180761,-83.9465,35.9709
El Paso,Texas,665568,-106.427,31.8484
Odessa,Texas,102106,-102.3434,31.8804
Midland,Texas,113931,-102.1097,32.0299
Lubbock,Texas,233740,-101.8867,33.5665
Amarillo,Texas,193675,-101.8287,35.1978
Abilene,Texas,118117,-99.7381,32.4545
Laredo,Texas,241935,-99.4869,27.5477
Wichita Falls,Texas,103931,-98.5259,33.9067
Killeen,Texas,130018,-97.732,31.0777
Round Rock,Texas,104664,-97.6674,30.5237
Brownsville,Texas,178430,-97.4538,26.0183
Fort Worth,Texas,758738,-97.3463,32.7795
Waco,Texas,126697,-97.186,31.5601
Corpus Christi,Texas,307953,-97.1734,27.7543
Denton,Texas,117187,-97.1417,33.2151
Arlington,Texas,373698,-97.1247,32.7007
Grand Prairie,Texas,179100,-97.021,32.6842
Irving,Texas,220702,-96.97,32.8577
Carrollton,Texas,122640,-96.8998,32.9884
Frisco,Texas,121387,-96.8193,33.151
Dallas,Texas,1223229,-96.7655,32.7942
Plano,Texas,269776,-96.7479,33.0508
Richardson,Texas,101742,-96.7081,32.9723
McKinney,Texas,136067,-96.668,33.2012
Garland,Texas,231517,-96.6304,32.9098
Mesquite,Texas,142674,-96.5924,32.7639
Houston,Texas,2145146,-95.3863,29.7805
Pasadena,Texas,152281,-95.1505,29.6583
Beaumont,Texas,118548,-94.1458,30.0843
West Valley City,Utah,131942,-112.0118,40.6885
West Jordan,Utah,105675,-112.001,40.6023
Salt Lake City,Utah,189899,-111.9314,40.7785
Provo,Utah,115321,-111.6448,40.2453
Richmond,Virginia,205533,-77.476,37.5314
Alexandria,Virginia,144301,-77.082,38.8183
Newport News,Virginia,179611,-76.5217,37.076
Chesapeake,Virginia,225050,-76.3018,36.6794
Hampton,Virginia,136401,-76.2971,37.048
Norfolk,Virginia,242628,-76.2446,36.923
Virginia Beach,Virginia,442707,-76.024,36.7793
Vancouver,Washington,164759,-122.5965,45.6372
Tacoma,Washington,200678,-122.4598,47.2522
Seattle,Washington,620778,-122.3509,47.6205
Kent,Washington,120916,-122.2169,47.3853
Everett,Washington,104295,-122.1742,48.0033
Bellevue,Washington,124798,-122.1565,47.5978
Spokane,Washington,210103,-117.4166,47.6736
Madison,Wisconsin,236901,-89.4301,43.0878
Green Bay,Wisconsin,105809,-87.9842,44.5207
Milwaukee,Wisconsin,597867,-87.9667,43.0633
Costa Mesa,California,111600,-117.9123,33.6659
West Covina,California,106870,-117.9099,34.0559
Santa Ana,California,329427,-117.8826,33.7365
Orange,California,138409,-117.8249,33.8048
Irvine,California,215529,-117.7713,33.6784
